stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
81178,87,-1.258224249,36.70190513,,
0001RLW,Railways Terminus,-1.290884,36.828242,1,
0002KOJ,Koja Terminus,-1.28123,36.822596,1,
0003NGR,Ngara,-1.274395,36.823806,1,
0004ODN,Odeon,-1.282769,36.825032,1,
0005AMB,Ambassadeur,-1.285963,36.826048,1,
0006BSS,Bus Station,-1.287191,36.828881,1,
0007COM,Commercial,-1.284282,36.826188,1,
0008MUT,Muthurwa,-1.288049,36.833947,1,
0010OTC,OTC,-1.284947,36.830994,1,
0011TUS,Tusker/Ronald Ngala,-1.285346,36.828574,1,
0013ALS,Allsops,-1.244951,36.867888,1,
0014KRA,Kariobangi Round About,-1.262408,36.879051,1,
0019KAK,Kaka,-1.286247,36.830586,1,
0100AAE,Aga Khan Hospital Entrance,-1.26177,36.82218, ,
0100AEI,Nyari Police,-1.225512028,36.78804159,,
0100ARG,Arya Girls' Secondary School,-1.26081,36.81997, ,
0100ASD,Ambassadors,-1.19794,36.75537, ,
0100BKH,Bypass Stage Kiambu,-1.21551,36.835114, ,
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464, ,
0100CCD,Coca Cola Depot,-1.25983,36.8176, ,
0100CHE,Commission Of Higher Education,-1.227579,36.797994, ,
0100CHL,Chantilly School,-1.181032,36.762044, ,
0100CTC,Christco,-1.19626,36.75305, ,
0100DPA,Delta Petrol Station Ruaka/Border,-1.20934,36.78847, ,
0100GUG,Guango,-1.195629,36.780871, ,
0100GVS,Green Valley School,-1.124978,36.677156, ,
0100ITS,Gwaiti,-1.18686676,36.73514843,,
0100JAK,Jakai,-1.219687,36.77222, ,
0100JLI,Jua Kali,-1.21108,36.874725, ,
0100JYL,Joyland,-1.20469,36.77598, ,
0100KCK,Kenchic,-1.132722,36.69801, ,
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817, ,
0100KNA,Kona,-1.221391,36.779214, ,
0100KSS,Kwa Shule/Seth Home Of Love Children'S Home/Muchatha Dispensary,-1.189608,36.773253, ,
0100LHH,Jamhuri School,-1.27250433,36.82257503,,
0100LIK,Likoni,-1.179095,36.760938, ,
0100LMC,Limuru Catering,-1.124471,36.679689, ,
0100LPS,Limuru Post Office,-1.118464,36.643126, ,
0100LSM,Life Sanctuary/Muchatha,-1.191495,36.775223, ,
0100MCY,Mothers Mercys/GD,-1.179957,36.725401, ,
0100MFB,Mifereji/God'S Ability,-1.20213,36.76693, ,
0100MIS,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297, ,
0100MOM,Mombasa,-1.17786,36.760345, ,
0100MRB,Maramba Tea Factory,-1.134476,36.703498, ,
0100MRC,Movers/Rosslyn Centre,-1.21102,36.79019, ,
0100NAM,National Oil/Muchatha,-1.193428,36.777892, ,
0100NDT,Ndenderu Junction,-1.19233,36.7437, ,
0100NJT,Kwa Njoki / Thimbigwa Ack,-1.183852,36.763684, ,
0100NKD,Ndenderu Kwa Maduka,-1.19449,36.75061, ,
0100NMT,New Muthaiga,-1.228621,36.798616, ,
0100NRP,Round A Bout Eastern Bypass,-1.155235,36.926119, ,
0100PEF,Pefa/All Nations/Muchatha,-1.197129,36.782933, ,
0100POW,Power,-1.21731,36.778253, ,
